data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,inter1,interaction,region,country,admin1,admin2,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
1359244,566,NIG11816,11816,01 February 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Oyo,Akinyele,Moniya,7.5283,3.9119,2,Nigerian Tribune,National,"Fulanis attack Opabunmi village in Akinyele LGA, killing a mother and her child.",2,1524053825,NGA
1359245,566,NIG11817,11817,01 February 2018,2018,2,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Taraba,Gassol,Mutum Biyu,8.6333,10.7667,2,Vanguard (Lagos),National,"Fulanis attack Dan-Anacha settlement on either 01/02 or 02/02, killing six. The source claims 32 have been killed in Taraba State since the beginning of the year; other source number vary.",6,1524053825,NGA
1359246,566,NIG11818,11818,01 February 2018,2018,2,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Taraba,Wukari,Wukari,7.85,9.7833,2,Vanguard (Lagos),National,Fulanis attack Amande Jembe on either 01/02 or 02/02. Five civilians reported dead. The source claims 32 have been killed in Taraba State since the beginning of the year; other source number vary.,5,1524053825,NGA
1639760,566,NIG11807,11807,01 February 2018,2018,1,Battle-No change of territory,Fulani Ethnic Militia (Nigeria),4,44,Western Africa,Nigeria,Adamawa,Song,Song,9.8244,12.625,2,The Sun (Nigeria); Vanguard,Subnational-national,"Fulanis and local farmers clash in Shimba, Shure and three other unnamed areas in Song LGA. 10 dead among all attacks.",10,1529947889,NGA
1359479,566,NIG11804,11804,31 January 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Kaduna,Birnin-Gwari,Birnin-Gwari,11.0154,6.7804,2,The Guardian (Lagos),National,"Seven persons have been feared killed and several homes razed at Kaguru village of Udawa ward in Birnin Gwari Local Council of Kaduna during a midnight raid by suspected Fulani herdsmen. ""Scores"" injured.",7,1524053825,NGA
1359660,566,NIG11800,11800,30 January 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Ondo,Akure South,Akure,7.2526,5.1931,1,Vanguard (Lagos),National,A Fulani stabs and kills a NURTW bus driver in Akure following a verbal argument.,1,1524053825,NGA
1359663,566,NIG11797,11797,30 January 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Nasarawa,Keana,Kadarko,8.2333,8.5667,1,Agence France Presse; Daily Independent (Nigeria),National,Gunmen suspected to be cattle herders killed at least seven Tiv farmers in Kadarko. A second source claims 12 dead.,7,1524053825,NGA
1359893,566,NIG11787,11787,29 January 2018,2018,1,Violence against civilians,Fulani Ethnic Militia (Nigeria),4,47,Western Africa,Nigeria,Plateau,Bassa,Bassa,9.9333,8.7333,2,The Guardian (Lagos),National,"Fulanis attack Nkiedoro, Rafin Bauna and another unnamed village in Bassa LGA in response to a military air strikes against Funali locations in Adamawa State. Four deaths among the three villages.",1,1524053825,NGA
1359754,566,NIG11775,11775,29 January 2018,2018,2,Remote violence,Fulani Ethnic Militia (Nigeria),4,14,Western Africa,Nigeria,Adamawa,Demsa,Demsa,9.4667,12.15,2,The Guardian (Lagos),National,"Nigerian air forces launch a series of strikes against Fulani positions in in Lawaru, Dong, Kodomti (Kokumso), Shafaron and Nzuruwei villages in Adamawa State on or before 29/01. 39 dead, 51 injured. In response, Fulani militias attacked several villages in Bassa LGA, including Nkiedoro and Rafin Bauna, killing four.",8,1524053825,NGA
1359894,566,NIG11776,11776,29 January 2018,2018,2,Remote violence,Fulani Ethnic Militia (Nigeria),4,14,Western Africa,Nigeria,Adamawa,Demsa,Dong,9.4023,11.9157,1,The Guardian (Lagos),National,"Nigerian air forces launch a series of strikes against Fulani positions in in Lawaru, Dong, Kodomti (Kokumso), Shafaron and Nzuruwei villages in Adamawa State on or before 29/01. 39 dead, 51 injured. In response, Fulani militias attacked several villages in Bassa LGA, including Nkiedoro and Rafin Bauna, killing four.",8,1524053825,NGA
